"SaleID","County","Township","TaxDistrict","ParcelNumber","PropertyClass","PostedAV","CurrentAV","SalePrice","PostedSaleRatio","SaleRatio","PostedExplanation","Explanation","Reclassified"
"C03-2022-0029396","Bartholomew","Wayne",20,"03-85-12-440-002.300-020",511,81300,108400,135000,0.602222222222222,0.802962962962963,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0030380","Bartholomew","Wayne",20,"03-85-12-440-002.400-020",510,99100,158900,172900,0.573163678426836,0.919028340080972,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0029880","Bartholomew","Wayne",20,"03-85-13-140-000.900-020",511,159900,175300,182000,0.878571428571429,0.963186813186813,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0029069","Bartholomew","Ohio",16,"03-85-20-000-003.100-016",511,164700,184800,2e+05,0.8235,0.924,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0028221","Bartholomew","Ohio",16,"03-85-20-000-003.300-016",511,248700,381000,465000,0.534838709677419,0.819354838709677,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0029166","Bartholomew","Wayne",20,"03-85-28-000-001.000-020",541,112200,156400,190000,0.590526315789474,0.823157894736842,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0028533","Bartholomew","Ohio",16,"03-85-30-000-001.500-016",511,125900,193500,250000,0.5036,0.774,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0029411","Bartholomew","Ohio",16,"03-85-30-000-002.100-016",512,259300,392100,369900,0.701000270343336,1.06001622060016,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0029241","Bartholomew","Wayne",20,"03-85-35-000-002.700-020",511,175600,283500,365000,0.481095890410959,0.776712328767123,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0028365","Bartholomew","Sandcreek",18,"03-86-08-000-000.301-018",511,144900,272300,125000,1.1592,2.1784,"Used In Study","ON RATIO STUDY",FALSE
"C03-2022-0029325","Bartholomew","Sandcreek",18,"03-86-08-000-000.301-018",511,154700,272300,275000,0.562545454545455,0.990181818181818,"Used In Study","ON RATIO STUDY",FALSE
