"SaleID","County","Township","TaxDistrict","ParcelNumber","PropertyClass","PostedAV","CurrentAV","SalePrice","PostedSaleRatio","SaleRatio","PostedExplanation","Explanation","Reclassified"
"C01-2021-0040521","Adams","Root",14,"01-02-34-404-013.000-014",510,117000,137700,43000,2.72093023255814,3.20232558139535,"Sold Twice","SOLD MORE THAN ONCE IN ONE YEAR",TRUE
"C01-2021-0040524","Adams","Root",14,"01-02-36-302-036.000-014",510,120800,143000,149000,0.810738255033557,0.959731543624161,"Sold Twice","SOLD MORE THAN ONCE IN ONE YEAR",TRUE
"C01-2021-0040525","Adams","Root",14,"01-02-33-200-096.000-014",510,123800,146800,135000,0.917037037037037,1.08740740740741,"Sold Twice","SOLD MORE THAN ONCE IN ONE YEAR",TRUE
"C01-2021-0040539","Adams","Union",16,"01-03-16-400-001.000-016",511,133300,152100,60000,2.22166666666667,2.535,"Significant Physical Change","CHANGES AFTER",TRUE
"C01-2021-0040544","Adams","Monroe",10,"01-08-33-301-322.000-010",420,59300,67300,40000,1.4825,1.6825,"Purchased by Developer","BUSINESS TRANSACTION",TRUE
"C01-2021-0040546","Adams","Monroe",10,"01-08-32-402-001.000-010",511,116900,115500,170000,0.687647058823529,0.679411764705882,"Not Typical of the NBHD","AV DOES NOT REFLECT MARKET VALUE",TRUE
"C01-2021-0040549","Adams","Monroe",10,"01-08-33-301-211.000-010",510,67000,72000,104000,0.644230769230769,0.692307692307692,"Not Typical of the NBHD","AV DOES NOT REFLECT MARKET VALUE",TRUE
"C01-2021-0040553","Adams","Washington",22,"01-05-03-112-005.000-022",510,51900,61400,32000,1.621875,1.91875,"Not Listed on Market","NOT LISTED ON OPEN MARKET",TRUE
"C01-2021-0040597","Adams","Washington",22,"01-05-03-103-039.000-022",510,59800,70300,41500,1.44096385542169,1.69397590361446,"Significant Physical Change","CHANGES AFTER",TRUE
"C01-2021-0040610","Adams","Washington",22,"01-05-03-428-010.000-022",510,64000,71200,16000,4,4.45,"Purchased by LLC","BUSINESS TRANSACTION",TRUE
"C01-2021-0040614","Adams","Monroe",8,"01-08-01-101-001.001-008",510,0,126300,1e+05,0,1.263,"Duplicate Sale","DUPLICATE",TRUE
"C01-2021-0040634","Adams","Monroe",10,"01-08-32-404-080.000-010",510,65200,68700,135000,0.482962962962963,0.508888888888889,"Not Listed on Market","NOT LISTED ON OPEN MARKET",TRUE
"C01-2021-0040636","Adams","Kirkland",7,"01-04-26-300-006.500-007",599,12400,14600,235000,0.0527659574468085,0.0621276595744681,"Adjacent Property Owner","ADJACENT OWNER",TRUE
"C01-2021-0040643","Adams","Union",16,"01-03-15-300-007.000-016",510,168600,189300,295000,0.571525423728814,0.641694915254237,"Not Listed on Market","NOT LISTED ON OPEN MARKET",TRUE
"C01-2021-0040644","Adams","Union",16,"01-03-31-300-021.000-016",510,118100,138300,164900,0.716191631291692,0.838690115221346,"Purchased from LLC","BUSINESS TRANSACTION",TRUE
"C01-2021-0040647","Adams","Root",14,"01-02-33-200-137.000-014",481,131200,156600,2e+05,0.656,0.783,"Private Sale","NOT LISTED ON OPEN MARKET",TRUE
"C01-2021-0040650","Adams","Root",14,"01-02-34-310-014.000-014",510,41600,48200,73000,0.56986301369863,0.66027397260274,"Not Typical Improvement for the Neighborhood","CHANGES AFTER",TRUE
"C01-2021-0040656","Adams","Hartford",5,"01-10-03-401-085.000-005",510,58100,71900,90000,0.645555555555556,0.798888888888889,"Sold Twice","SOLD MORE THAN ONCE IN ONE YEAR",TRUE
"C01-2021-0040659","Adams","Washington",22,"01-05-02-103-071.000-022",510,59000,62400,90000,0.655555555555556,0.693333333333333,"Not Listed on Market","NOT LISTED ON OPEN MARKET",TRUE
"C01-2021-0040660","Adams","Washington",22,"01-05-03-106-079.000-022",510,80400,95600,38000,2.11578947368421,2.51578947368421,"Sold Twice","SOLD MORE THAN ONCE IN ONE YEAR",TRUE
"C01-2021-0040661","Adams","Washington",22,"01-05-03-306-072.000-022",599,9400,10100,11000,0.854545454545454,0.918181818181818,"Not Typical Improvement for the Neighborhood","CHANGES AFTER",TRUE
"C01-2021-0040665","Adams","Washington",22,"01-05-01-101-014.084-022",500,400,234900,43500,0.00919540229885057,5.4,"Sold Twice","SOLD MORE THAN ONCE IN ONE YEAR",TRUE
"C01-2021-0040669","Adams","Washington",22,"01-05-03-200-020.000-022",510,96200,109500,170000,0.565882352941177,0.644117647058824,"Significant Physical Change","CHANGES AFTER",TRUE
"C01-2021-0040671","Adams","Washington",22,"01-05-03-121-001.000-022",510,106800,123100,55000,1.94181818181818,2.23818181818182,"Sold Twice","SOLD MORE THAN ONCE IN ONE YEAR",TRUE
