"SaleID","County","Township","TaxDistrict","ParcelNumber","PropertyClass","PostedAV","CurrentAV","SalePrice","PostedSaleRatio","SaleRatio","PostedExplanation","Explanation","Reclassified"
"C01-2022-0041278","Adams","Washington",22,"01-05-10-203-057.000-022",510,63100,78300,120000,0.525833333333333,0.6525,"Private Sale","NOT LISTED ON OPEN MARKET",TRUE
"C01-2022-0041283","Adams","Washington",22,"01-05-01-102-014.089-022",500,300,237900,45000,0.00666666666666667,5.28666666666667,"Significant Physical Change","CHANGES AFTER",TRUE
"C01-2022-0041284","Adams","Washington",22,"01-05-03-400-025.000-022",599,14400,18100,10000,1.44,1.81,"Not typical Improvement for the Neighborhood","CHANGES AFTER",TRUE
"C01-2022-0041285","Adams","Root",14,"01-02-35-402-026.000-014",510,84700,105300,142500,0.594385964912281,0.738947368421053,"Private Sale","NOT LISTED ON OPEN MARKET",TRUE
"C01-2022-0041290","Adams","Washington",22,"01-05-03-113-087.000-022",510,99800,123300,68000,1.46764705882353,1.81323529411765,"Sold Twice","SOLD MORE THAN ONCE IN ONE YEAR",TRUE
"C01-2022-0041291","Adams","Root",14,"01-02-35-402-028.000-014",510,74800,85600,120000,0.623333333333333,0.713333333333333,"Not Listed on Market","NOT LISTED ON OPEN MARKET",TRUE
"C01-2022-0041292","Adams","Washington",22,"01-05-03-305-011.000-022",510,94500,112700,50000,1.89,2.254,"Relationship Sale","PRE-EXISTING RELATIONSHIP",TRUE
"C01-2022-0041299","Adams","Root",14,"01-02-34-406-011.000-014",510,134400,161000,180000,0.746666666666667,0.894444444444444,"Flip Sale","POOR CONDITION",TRUE
"C01-2022-0041301","Adams","Root",14,"01-02-34-401-015.000-014",510,117300,48300,115000,1.02,0.42,"Sold Twice","SOLD MORE THAN ONCE IN ONE YEAR",TRUE
"C01-2022-0041303","Adams","Washington",23,"01-05-34-300-006.000-023",510,150300,187800,107000,1.40467289719626,1.75514018691589,"Sold Twice","SOLD MORE THAN ONCE IN ONE YEAR",TRUE
"C01-2022-0041304","Adams","Washington",22,"01-05-03-103-056.000-022",510,96000,125700,165000,0.581818181818182,0.761818181818182,"Private Sale","NOT LISTED ON OPEN MARKET",TRUE
"C01-2022-0041323","Adams","Preble",12,"01-01-36-300-010.000-012",510,69400,75700,99500,0.69748743718593,0.760804020100503,"Private Sale","NOT LISTED ON OPEN MARKET",TRUE
"C01-2022-0041324","Adams","Root",13,"01-02-31-400-013.000-013",511,153200,170000,186500,0.821447721179625,0.911528150134048,"Relationship Sale","PRE-EXISTING RELATIONSHIP",TRUE
"C01-2022-0041335","Adams","Root",14,"01-02-33-200-016.000-014",431,301800,312900,6e+05,0.503,0.5215,"Sold Twice","SOLD MORE THAN ONCE IN ONE YEAR",TRUE
"C01-2022-0041336","Adams","Washington",22,"01-05-01-101-014.084-022",510,186000,248100,314921,0.590624315304473,0.787816627027096,"Sold Twice","SOLD MORE THAN ONCE IN ONE YEAR",TRUE
"C01-2022-0041343","Adams","Washington",22,"01-05-03-204-016.000-022",510,111000,128700,180500,0.614958448753463,0.713019390581717,"Not Listed on Market","NOT LISTED ON OPEN MARKET",TRUE
"C01-2022-0041344","Adams","Washington",23,"01-05-33-401-087.007-023",510,55800,148600,31000,1.8,4.79354838709677,"Significant Physical Change","CHANGES AFTER",TRUE
"C01-2022-0041345","Adams","Wabash",19,"01-11-20-203-035.000-019",500,18700,262200,25000,0.748,10.488,"Significant Physical Change","CHANGES AFTER",TRUE
"C01-2022-0041346","Adams","Washington",22,"01-05-01-101-014.082-022",500,400,250900,39000,0.0102564102564103,6.43333333333333,"Significant Physical Change","CHANGES AFTER",TRUE
"C01-2022-0041347","Adams","Washington",23,"01-05-33-401-087.007-023",510,55800,148600,255530,0.218369663053262,0.581536414511016,"Sold Twice","SOLD MORE THAN ONCE IN ONE YEAR",TRUE
"C01-2022-0041350","Adams","Root",13,"01-02-22-100-018.000-013",511,215200,265600,290000,0.742068965517241,0.915862068965517,"Not typical sale for the neighborhood","AV DOES NOT REFLECT MARKET VALUE",TRUE
"C01-2022-0041360","Adams","Root",13,"01-02-21-202-013.000-013",510,134500,149200,215000,0.625581395348837,0.693953488372093,"Not typical sale for the neighborhood","AV DOES NOT REFLECT MARKET VALUE",TRUE
"C01-2022-0041361","Adams","Wabash",19,"01-11-29-401-035.000-019",300,6400,6400,650000,0.00984615384615385,0.00984615384615385,"Adjacent Property Owner","ADJACENT OWNER",TRUE
"C01-2022-0041362","Adams","Root",14,"01-02-29-401-007.299-014",500,400,425600,56050,0.00713648528099911,7.59322033898305,"Significant Physical Change","CHANGES AFTER",TRUE
