SaleID,County,Township,TaxDistrict,ParcelNumber,PropertyClass,PostedAV,CurrentAV,SalePrice,PostedSaleRatio,SaleRatio,MultiParcel,Primary,StudySection
C01-2021-0040710,Adams,Washington,22,01-05-04-301-025.000-022,510,144400,144400,149700,0.964595858,0.964595858,N,Y,ResImp
C01-2021-0040750,Adams,Root,13,01-02-04-300-003.000-013,511,227100,227100,227000,1.000440529,1.000440529,N,Y,ResImp
C01-2021-0040779,Adams,Union,16,01-03-31-200-006.001-016,510,166300,166300,152700,1.089063523,1.089063523,N,Y,ResImp
C01-2021-0040786,Adams,Root,14,01-02-34-104-043.000-014,510,91700,91700,105700,0.867549669,0.867549669,N,Y,ResImp
C01-2021-0040791,Adams,Washington,22,01-05-03-104-055.000-022,510,137500,137500,121100,1.135425268,1.135425268,N,Y,ResImp
C01-2021-0040796,Adams,Wabash,18,01-11-05-104-012.000-018,510,179400,179400,199300,0.900150527,0.900150527,N,Y,ResImp
C01-2021-0040797,Adams,Wabash,18,01-11-04-300-022.000-018,510,106600,106600,89600,1.189732143,1.189732143,N,Y,ResImp
C01-2021-0040798,Adams,Wabash,18,01-11-05-201-009.000-018,510,250700,250700,258100,0.971328942,0.971328942,N,Y,ResImp
C01-2021-0040799,Adams,Root,13,01-02-28-101-088.000-013,510,96300,96300,123100,0.78229082,0.78229082,N,Y,ResImp
C01-2021-0040803,Adams,Washington,20,01-05-16-201-003.000-020,510,289800,289800,342400,0.846378505,0.846378505,N,Y,ResImp
C01-2021-0040804,Adams,Washington,20,01-05-16-201-049.000-020,510,256500,256500,271200,0.94579646,0.94579646,N,Y,ResImp
C01-2021-0040805,Adams,Wabash,18,01-11-05-301-087.000-018,510,271800,271800,217700,1.24850712,1.24850712,N,Y,ResImp
C01-2021-0040811,Adams,Washington,22,01-05-03-113-022.000-022,510,85800,85800,66200,1.296072508,1.296072508,N,Y,ResImp
C01-2021-0040813,Adams,Washington,22,01-05-03-400-077.000-022,510,49300,49300,36900,1.33604336,1.33604336,N,Y,ResImp
C01-2021-0040817,Adams,Monroe,8,01-08-01-101-001.001-008,510,126300,126300,105800,1.193761815,1.193761815,N,Y,ResImp
C01-2021-0040836,Adams,Washington,22,01-05-04-301-048.500-022,510,165800,165800,136500,1.214652015,1.214652015,N,Y,ResImp
C01-2021-0040839,Adams,Monroe,11,01-08-04-201-039.000-011,510,66600,66600,79100,0.841972187,0.841972187,N,Y,ResImp
C01-2021-0040841,Adams,Washington,22,01-05-03-108-004.000-022,510,97000,97000,115500,0.83982684,0.83982684,N,Y,ResImp
C01-2021-0040842,Adams,Washington,22,01-05-04-207-001.000-022,510,110400,110400,141900,0.778012685,0.778012685,N,Y,ResImp
C01-2021-0040851,Adams,Root,14,01-02-35-101-002.628-014,510,292700,292700,360700,0.811477682,0.811477682,N,Y,ResImp
C01-2021-0040852,Adams,Root,14,01-02-28-401-001.237-014,510,175800,175800,216700,0.811259806,0.811259806,N,Y,ResImp
C01-2021-0040853,Adams,Wabash,19,01-11-29-209-008.000-019,510,65500,65500,78800,0.831218274,0.831218274,N,Y,ResImp
C01-2021-0040855,Adams,Monroe,10,01-08-32-405-009.000-010,510,118200,118200,122500,0.964897959,0.964897959,N,Y,ResImp
C01-2021-0040856,Adams,Monroe,10,01-08-33-402-006.000-010,510,74900,74900,100800,0.743055556,0.743055556,N,Y,ResImp
