"","County","Type","Grouping","LowerBound","Median","UpperBound","COD","COV","PRD","PRB","Sales"
"2.5%56","Noble","2022","Countywide",0.11,0.13,0.16,37.38,49.76,1.06,0,54
"df_sp1","Ohio","2022","Countywide",0.04,0.07,0.18,97.9,77.34,1.37,0,14
"2.5%57","Orange","2022","Countywide",0.02,0.04,0.07,163.34,121.02,1.49,0,85
"2.5%58","Owen","2022","Countywide",0.05,0.06,0.1,96.97,86.12,1.15,0,77
"2.5%59","Parke","2022","Countywide",0.05,0.07,0.11,89.59,86.08,1.14,0,82
"2.5%60","Perry","2022","Countywide",0.04,0.06,0.1,94.26,92.57,1.05,0,56
"2.5%61","Pike","2022","Countywide",0.09,0.11,0.13,59.33,64.51,1.1,0,77
"2.5%62","Porter","2022","Countywide",0.09,0.1,0.12,39.02,46.47,1.06,0,42
"2.5%63","Posey","2022","Countywide",0.06,0.1,0.11,65.56,87.65,0.93,0,63
"2.5%64","Pulaski","2022","Countywide",0.12,0.16,0.21,47.44,54.64,1.13,0,52
"2.5%65","Putnam","2022","Countywide",0.07,0.1,0.13,62.54,70.79,1,0,64
"2.5%66","Randolph","2022","Countywide",0.1,0.11,0.13,34.41,44.15,1.07,0,39
"2.5%67","Ripley","2022","Countywide",0.09,0.1,0.13,53.24,63.7,0.96,0,58
"2.5%68","Rush","2022","Countywide",0.1,0.12,0.16,51.75,56.38,1.01,0,32
"2.5%69","Scott","2022","Countywide",0.09,0.1,0.18,74.84,72.88,1.1,0,37
"2.5%70","Shelby","2022","Countywide",0.09,0.12,0.13,58.31,76.51,1.06,0,56
"2.5%71","Spencer","2022","Countywide",0.07,0.08,0.1,48.11,62.63,1.02,0,53
"2.5%72","St. Joseph","2022","Countywide",0.1,0.12,0.14,39.79,50.29,1.19,0,41
"2.5%73","Starke","2022","Countywide",0.11,0.12,0.13,46.65,64.54,1.4,0,56
"2.5%74","Steuben","2022","Countywide",0.1,0.13,0.16,47.17,59.01,1.13,0,50
"2.5%75","Sullivan","2022","Countywide",0.09,0.15,0.17,47.68,63.37,1.05,0,35
"2.5%76","Switzerland","2022","Countywide",0.07,0.1,0.13,50.22,60.15,1.24,0,45
"2.5%77","Tippecanoe","2022","Countywide",0.08,0.12,0.16,58.36,64.98,1.08,0,45
"2.5%78","Tipton","2022","Countywide",0.1,0.12,0.14,31.21,42.05,0.99,0,23
"df_sp2","Union","2022","Countywide",0.08,0.11,0.15,47.37,53.93,0.99,0,16
"2.5%79","Vanderburgh","2022","Countywide",0.08,0.09,0.12,46.26,53.93,1.12,0,43
"2.5%80","Vermillion","2022","Countywide",0.12,0.14,0.18,49.71,56.74,1.11,0,39
"2.5%81","Vigo","2022","Countywide",0.1,0.14,0.18,57.3,66.81,1.03,0,54
"2.5%82","Wabash","2022","Countywide",0.13,0.16,0.16,28.33,44.21,1.06,0,49
"2.5%83","Warren","2022","Countywide",0.06,0.1,0.13,57.92,67.77,1,0,38
"2.5%84","Warrick","2022","Countywide",0.09,0.12,0.14,42.5,55.13,1.21,0,58
"2.5%85","Washington","2022","Countywide",0.08,0.1,0.15,76.66,73.14,1.52,0,65
"2.5%86","Wayne","2022","Countywide",0.12,0.13,0.16,47.76,56.12,0.96,0,72
"2.5%87","Wells","2022","Countywide",0.11,0.12,0.13,43.35,55.31,1.1,0,68
"2.5%88","White","2022","Countywide",0.12,0.14,0.14,31.74,48.41,1.08,0,43
"2.5%89","Whitley","2022","Countywide",0.09,0.11,0.14,34.12,39.12,1.06,0,39
"2.5%90","Statewide","2023","Statewide",0.13,0.13,0.13,57.08,68.79,1.03,0,3820
"2.5%91","Adams","2023","Countywide",0.12,0.14,0.18,40.03,42.13,1.02,0,60
"2.5%92","Allen","2023","Countywide",0.04,0.1,0.12,78.84,108.69,0.82,0,59
"2.5%93","Bartholomew","2023","Countywide",0.1,0.13,0.18,59.86,76.19,0.89,0,32
"2.5%94","Benton","2023","Countywide",0.13,0.16,0.17,20.61,27.57,1.08,0,25
"df_sp3","Blackford","2023","Countywide",0,0.08,0.12,81.71,109.14,0.63,0,9
"df_sp4","Boone","2023","Countywide",0.15,0.16,0.17,33.92,50.69,1.04,0,13
"2.5%95","Brown","2023","Countywide",0.02,0.06,0.12,146.47,121.48,0.67,0,29
