"","County","Type","Grouping","LowerBound","Median","UpperBound","COD","COV","PRD","PRB","Sales"
"df_sp141","Jefferson","Residential Improved","Saluda",0.44,0.58,0.82,37.31,41.77,1.09,0,19
"1108","Jennings","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1109","Jennings","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1110","Jennings","Commercial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp142","Jennings","Commercial Improved","Countywide",0.8,0.98,1.06,25.94,39.04,1.33,0,18
"2.5%354","Jennings","Residential Vacant","Countywide",0.46925,0.69,0.99,52.42,60.38,2.1,0,26
"2.5%355","Jennings","Residential Improved","Countywide",0.9,0.91,0.93,17.39,29.23,1.06,0,287
"2.5%356","Jennings","Residential Improved","Bigger",0.84,0.92,0.97,18.01,31.54,1.06,0,53
"df_sp143","Jennings","Residential Improved","Columbia",0.81,0.89,0.94,10.59,14.33,1.04,0,9
"df_sp144","Jennings","Residential Improved","Campbell",0.82,0.98,2.17,40.03,48.67,1.13,0,8
"2.5%357","Jennings","Residential Improved","Center",0.88,0.91,0.93,15.81,23.94,1.04,0,107
"2.5%358","Jennings","Residential Improved","Geneva",0.88,0.91,0.95,19.38,28.92,1.05,0,63
"df_sp145","Jennings","Residential Improved","Lovett",0.8,0.93,0.96,9.35,13.57,1.02,0,7
"df_sp146","Jennings","Residential Improved","Montgomery",0.81,0.91,1.02,32.91,59.56,1.24,0,8
"2.5%359","Jennings","Residential Improved","Spencer",0.84,0.91,0.94,10.53,13.44,1.02,0,32
"df_sp147","Johnson","Industrial Vacant","Countywide",0.28,0.88,1,19.91,37.53,1.54,0,5
"df_sp148","Johnson","Industrial Improved","Countywide",0.42,0.75,0.85,20.79,30.67,0.93,0,5
"df_sp149","Johnson","Commercial Vacant","Countywide",0.02,0.15,0.7,185.42,108.43,9.95,0,9
"2.5%360","Johnson","Commercial Improved","Countywide",0.48,0.73,0.85,36.74,45.3,1.34,0,42
"2.5%361","Johnson","Residential Vacant","Countywide",0.17,0.52,0.82,86.48,89.12,1.21,0,131
"df_sp150","Johnson","Residential Vacant","Blue River",0.62,0.88,1.11,28.29,38.65,1.32,0,19
"2.5%362","Johnson","Residential Vacant","Needham",0.02,0.03,0.88,1272.42,110.42,0.8,0,23
"2.5%363","Johnson","Residential Vacant","White River",0.03,0.36,0.8,125.12,97.23,1.23,0,89
"2.5%364","Johnson","Residential Improved","Countywide",0.91,0.91,0.91,8.12,24.46,1.02,0,2368
"2.5%365","Johnson","Residential Improved","Blue River",0.87,0.9,0.94,10.29,15.76,1.03,0,30
"df_sp151","Johnson","Residential Improved","Clark",0.85,0.92,0.97,7.78,11.41,1.02,0,10
"2.5%366","Johnson","Residential Improved","Franklin",0.89,0.9,0.92,7.85,16.38,1.01,0,241
"2.5%367","Johnson","Residential Improved","Hensley",0.89,0.91,0.93,6.32,8.83,1.01,0,45
"2.5%368","Johnson","Residential Improved","Needham",0.9,0.91,0.93,11.29,42.85,1.04,0,103
"2.5%369","Johnson","Residential Improved","Nineveh",0.89,0.91,0.94,7.95,12.27,1,0,43
"2.5%370","Johnson","Residential Improved","Pleasant",0.9,0.91,0.91,6.87,10.8,1.01,0,1030
"df_sp152","Johnson","Residential Improved","Union",0.9,0.91,0.95,5.46,7,1,0,17
"2.5%371","Johnson","Residential Improved","White River",0.91,0.91,0.92,9.39,33.99,1.03,0,849
"1111","Knox","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1112","Knox","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1113","Knox","Commercial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"2.5%372","Knox","Commercial Improved","Countywide",0.82,0.91,1.01,20.12,26.86,1.05,0,23
"df_sp153","Knox","Commercial Improved","Busseron",0.71,0.91,1.01,10.25,14.01,0.99,0,5
"df_sp154","Knox","Commercial Improved","Vincennes",0.82,0.93,1.09,22.61,28.58,1.07,0,18
"2.5%373","Knox","Residential Vacant","Countywide",0.85,0.97,1.04,24.77,40.64,1.25,0,25
"df_sp155","Knox","Residential Vacant","Busseron",0.52,1.04,1.24,31.31,48.53,1.26,0,7
"df_sp156","Knox","Residential Vacant","Vincennes",0.88,0.97,1,21.06,38.78,1.24,0,18
"2.5%374","Knox","Residential Improved","Countywide",0.9,0.91,0.93,18.2,27.69,1.06,0,385
"df_sp157","Knox","Residential Improved","Busseron",0.85,0.92,0.99,7.46,9.62,1.03,0,10
"df_sp158","Knox","Residential Improved","Decker",0.85,0.92,1.01,6.61,8.46,0.99,0,8
"2.5%375","Knox","Residential Improved","Harrison",0.85,0.92,0.94,13.39,17.64,1.01,0,21
"df_sp159","Knox","Residential Improved","Palmyra",0.85,0.94,1.04,15.69,20.19,1,0,18
"df_sp160","Knox","Residential Improved","Steen",0.82,0.94,1.03,10.9,14.09,1.02,0,9
"2.5%376","Knox","Residential Improved","Vigo",0.9,0.94,1.02025,19.23,27.11,1.06,0,42
"2.5%377","Knox","Residential Improved","Vincennes",0.89,0.91,0.93,19.83,30.25,1.07,0,257
"2.5%378","Knox","Residential Improved","Washington",0.83,0.9,0.95,14.16,20.67,1.05,0,20
"df_sp161","Kosciusko","Industrial Vacant","Countywide",1.15,1.28,1.56,13.95,18.79,1.31,0,6
