"","County","Type","Grouping","LowerBound","Median","UpperBound","COD","COV","PRD","PRB","Sales"
"1123","Martin","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1124","Martin","Commercial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp232","Martin","Commercial Improved","Countywide",0.91,0.94,0.99,9.6,13.75,1.03,0,19
"df_sp233","Martin","Residential Vacant","Countywide",0.62,0.95,1.16,15.29,22.23,1.03,0,5
"2.5%515","Martin","Residential Improved","Countywide",0.92,0.95,0.98,17.9,26.65,1.05,0,189
"2.5%516","Martin","Residential Improved","Helbert",0.9,0.97,1.04,20.08,28.4,1.06,0,39
"2.5%517","Martin","Residential Improved","Perry",0.92,0.95,0.98,16.89,26.32,1.05,0,124
"1125","Miami","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1126","Miami","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1127","Miami","Commercial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp234","Miami","Commercial Improved","Countywide",0.87,1,1.08,21.31,30.3,1.09,0,16
"df_sp235","Miami","Residential Vacant","Countywide",0.18,0.49,0.96,90.79,88.62,1.19,0,9
"2.5%518","Miami","Residential Improved","Countywide",0.91,0.94,0.97,23.28,32.08,1.08,0,276
"2.5%519","Miami","Residential Improved","Peru",0.9,0.95,0.99,22.81,31.6,1.08,0,119
"2.5%520","Miami","Residential Improved","Washington",0.88,0.95,1.09,22.9,29.01,1.08,0,24
"2.5%521","Miami","Residential Improved","Pipe Creek",0.78,0.89,0.98,26.13,35.08,1.02,0,57
"2.5%522","Miami","Residential Improved","Union",0.9,0.98,1.03,18.84,28,1.17,0,21
"2.5%523","Miami","Residential Improved","Butler",0.88,0.97,1,21.71,32,1.11,0,49
"1128","Monroe","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1129","Monroe","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp236","Monroe","Commercial Vacant","Countywide",0,0.18,0.89,118.32,111.5,4.55,0,5
"2.5%524","Monroe","Commercial Improved","Countywide",0.93,0.97,1.01,16.13,23.09,1.24,0,106
"2.5%525","Monroe","Residential Vacant","Countywide",0.8,0.85,0.91,22.68,37.63,1.66,0,58
"2.5%526","Monroe","Residential Improved","Countywide",0.96,0.97,0.97,12.04,18.15,1.02,0,1844
"df_sp237","Monroe","Residential Improved","Bean Blossom",0.88,0.96,1,18.54,30.59,1.1,0,17
"2.5%527","Monroe","Residential Improved","Benton",0.87,1.01,1.05025,16.99,24.88,1.04,0,36
"2.5%528","Monroe","Residential Improved","Bloomington",0.88,0.9,0.92,12.65,17.92,1.02,0,209
"2.5%529","Monroe","Residential Improved","Clear Creek",0.94,0.97,1,14.65,20.44,1.03,0,163
"df_sp238","Monroe","Residential Improved","Indian Creek",0.86,0.95,1.17,9.57,13.04,1.01,0,5
"2.5%530","Monroe","Residential Improved","Perry",0.94,0.95,0.96,11.63,15.68,1.02,0,789
"2.5%531","Monroe","Residential Improved","Richland",0.99,0.99,1,6.23,12.6,1.01,0,364
"2.5%532","Monroe","Residential Improved","Salt Creek",0.88,0.95,1.06,19.45,25.74,1.05,0,22
"2.5%533","Monroe","Residential Improved","Van Buren",0.92,0.94,0.97,16.26,24.69,1.04,0,207
"2.5%534","Monroe","Residential Improved","Washington",0.78,0.87,0.95,22.25,33.67,1.12,0,27
"1130","Montgomery","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1131","Montgomery","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1132","Montgomery","Commercial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp239","Montgomery","Commercial Improved","Countywide",0.78,0.94,1.02,17.97,24.04,1,0,15
"2.5%535","Montgomery","Residential Vacant","Countywide",0.188,0.24,0.49,124.1,111.99,3.85,0,35
