"","County","Type","Grouping","LowerBound","Median","UpperBound","COD","COV","PRD","PRB","Sales"
"1","Adams","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"2","Adams","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"3","Adams","Commercial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"2.5%","Adams","Commercial Improved","Countywide",0.83,0.96,1.01,16.05,21.49,1.01,0,23
"df_sp","Adams","Residential Vacant","Countywide",0.93,1.08,1.16,16.66,25.79,1.04,0,6
"2.5%1","Adams","Residential Improved","Countywide",0.9,0.92,0.95,13.96,17.91,1.03,0,476
"2.5%2","Adams","Residential Improved","Blue Creek",0.87,0.92,0.96,16.44,20.76,1.03,0,93
"2.5%3","Adams","Residential Improved","Hartford",0.83,0.88,0.95,16.47,19.84,1.03,0,99
"2.5%4","Adams","Residential Improved","Preble",0.86,0.93,1.01,12.41,16.1,1.05,0,22
"2.5%5","Adams","Residential Improved","Washington",0.88,0.91,0.96,14.65,17.88,1.03,0,156
"2.5%6","Adams","Residential Improved","Root",0.92,0.94,0.96,9.09,13.34,1.01,0,106
"11","Allen","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp1","Allen","Industrial Improved","Countywide",0.83,0.93,0.96,6.91,8.21,0.99,0,9
"df_sp2","Allen","Commercial Vacant","Countywide",0.86,0.93,0.95,12.8,23.66,1.05,0,16
"2.5%7","Allen","Commercial Improved","Countywide",0.9,0.92,0.94,13.12,24.65,1.11,0,56
"12","Allen","Commercial Improved","Aboite",NA,NA,NA,NA,NA,NA,NA,0
"2.5%8","Allen","Commercial Improved","Adams",0.9,0.93,0.96,11.14,21.39,1.01,0,30
"df_sp3","Allen","Commercial Improved","Perry",0.78,0.9,0.95,10.46,15.62,1.06,0,13
"df_sp4","Allen","Commercial Improved","Washington",0.89,0.93,0.96,5.49,7.38,1,0,10
"2.5%9","Allen","Residential Vacant","Countywide",0.81,0.94,0.98,16.91,28.68,1.03,0,39
"df_sp5","Allen","Residential Vacant","Aboite",0.9,0.97,1.01,9.33,13.58,1.03,0,10
"13","Allen","Residential Vacant","Adams",NA,NA,NA,NA,NA,NA,NA,1
"df_sp6","Allen","Residential Vacant","Cedar Creek",0.66,0.89,1,17.56,20.55,1,0,8
"df_sp7","Allen","Residential Vacant","Eel River",0.7,0.81,1.03,20.79,25.52,1.06,0,11
"df_sp8","Allen","Residential Vacant","Perry",0.89,0.93,0.95,19.25,48.27,0.96,0,6
"14","Allen","Residential Vacant","St. Joseph",NA,NA,NA,NA,NA,NA,NA,3
"2.5%10","Allen","Residential Improved","Countywide",0.99,0.99,0.99,11.89,40.14,1.03,0,4831
"2.5%11","Allen","Residential Improved","Aboite",0.99,0.99,0.99,9.86,39.94,1.03,0,734
"2.5%12","Allen","Residential Improved","Adams",0.97,0.98,0.99,7.57,10.16,1,0,334
"2.5%13","Allen","Residential Improved","Cedar Creek",0.98,1,1,23.16,63.4,1.11,0,199
