"","County","Type","Grouping","LowerBound","Median","UpperBound","COD","COV","PRD","PRB","Sales"
"2.5%191","Fountain","Residential Improved","Millcreek",0.88,0.92,0.98,13.05,18.45,0.99,0,28
"181","Franklin","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"182","Franklin","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"183","Franklin","Commercial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"184","Franklin","Commercial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"185","Franklin","Residential Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"2.5%192","Franklin","Residential Improved","Countywide",0.91,0.93,0.95,9.09,12.62,1.01,0,112
"2.5%193","Franklin","Residential Improved","Brookville",0.88,0.92,0.95,10.91,15.9,1.02,0,50
"2.5%194","Franklin","Residential Improved","Ray",0.92,0.97,0.99,6.53,7.95,0.99,0,33
"2.5%195","Franklin","Residential Improved","Bath",0.88,0.92,0.96,8.37,10.71,1.02,0,23
"df_sp88","Franklin","Residential Improved","Blooming Grove",0.8,0.93,0.96,7.06,9.98,1.01,0,6
"186","Fulton","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp89","Fulton","Industrial Improved","Countywide",0.83,0.93,1.07,189.82,160.56,2.41,0,6
"187","Fulton","Commercial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"2.5%196","Fulton","Commercial Improved","Countywide",0.86,0.96,1.01,55.86,171.53,1.37,0,38
"2.5%197","Fulton","Residential Vacant","Countywide",0.66,0.83,0.94,22.77,27.9,1.02,0,25
"2.5%198","Fulton","Residential Improved","Countywide",0.94,0.96,0.96,14.18,37.89,1.03,0,611
"2.5%199","Fulton","Residential Improved","Aubbeenaubbee",0.86,0.94,0.98,14.3,20,1.03,0,27
"2.5%200","Fulton","Residential Improved","Henry",0.92,0.97,0.99,10.52,14.13,1.02,0,67
"2.5%201","Fulton","Residential Improved","Liberty",0.93,0.96,0.98,12.75,17.59,1.02,0,56
"2.5%202","Fulton","Residential Improved","Newcastle",0.88,0.95,1.02,13.33,17.7,1.01,0,24
"2.5%203","Fulton","Residential Improved","Richland",0.85,0.91,1.03,14.22,18.1,1.02,0,25
"2.5%204","Fulton","Residential Improved","Rochester",0.94,0.95,0.97,15.42,46.68,1.03,0,361
"2.5%205","Fulton","Residential Improved","Union",0.92,0.95,0.99,11.71,16.56,1.02,0,50
"188","Gibson","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"189","Gibson","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"190","Gibson","Commercial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp90","Gibson","Commercial Improved","Countywide",0.85,0.98,1.08,15.71,19.52,0.99,0,12
"df_sp91","Gibson","Residential Vacant","Countywide",0.93,1.02,1.11,10.18,14.29,1,0,6
"2.5%206","Gibson","Residential Improved","Countywide",0.87,0.9,0.91,12.69,16.44,1.02,0,290
"df_sp92","Gibson","Residential Improved","Barton",0.81,0.93,0.94,11.17,15.98,1.03,0,9
"2.5%207","Gibson","Residential Improved","Columbia",0.85,0.9,0.95,12.36,16.01,1.03,0,28
"2.5%208","Gibson","Residential Improved","Johnson",0.81,0.9,0.93,13.7,19.32,1.03,0,34
"2.5%209","Gibson","Residential Improved","Montgomery",0.82,0.91,0.92,12.23,16.84,1,0,38
"2.5%210","Gibson","Residential Improved","Patoka",0.85,0.9,0.93,12.52,15.97,1.01,0,129
"2.5%211","Gibson","Residential Improved","Union",0.79,0.9,0.92,13.08,16.22,1.03,0,52
"191","Grant","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"192","Grant","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"193","Grant","Commercial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"2.5%212","Grant","Commercial Improved","Countywide",0.95,0.96,0.97,7.04,11.02,1.03,0,22
"194","Grant","Residential Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"2.5%213","Grant","Residential Improved","Countywide",0.93,0.94,0.96,10.63,14.27,1.03,0,614
"2.5%214","Grant","Residential Improved","Jefferson",0.9,0.94,0.98,9.4,11.88,1.02,0,49
"2.5%215","Grant","Residential Improved","Center",0.93,0.94,0.97,10.71,14.54,1.03,0,172
"2.5%216","Grant","Residential Improved","Fairmount",0.87,0.94,0.99,10.93,14.47,1.02,0,30
"2.5%217","Grant","Residential Improved","Franklin",0.92,0.96,0.97,9.9,12.94,1.01,0,61
"2.5%218","Grant","Residential Improved","Mill",0.92,0.95,0.97,11.55,15.9,1.03,0,120
"2.5%219","Grant","Residential Improved","Pleasant",0.92,0.93,0.94025,10.02,13.02,1.02,0,113
"2.5%220","Grant","Residential Improved","Sims",0.89,0.95,1,8.27,10.99,1.02,0,23
"2.5%221","Grant","Residential Improved","Van Buren",0.92,0.99,1.07,12.47,16.69,1.03,0,21
"2.5%222","Grant","Residential Improved","Washington",0.87,0.97,1.02,10.73,15.46,1.02,0,25
"195","Greene","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"196","Greene","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"197","Greene","Commercial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp93","Greene","Commercial Improved","Countywide",0.83,0.91,1.05,13.61,17.18,1.01,0,12
"df_sp94","Greene","Residential Vacant","Countywide",0.73,1,1.01,10.33,15.03,1.02,0,7
"2.5%223","Greene","Residential Improved","Countywide",0.9,0.92,0.93,10.83,13.37,1.02,0,243
"2.5%224","Greene","Residential Improved","Beech Creek",0.88,0.93,0.98,9.71,11.62,1.02,0,49
"df_sp95","Greene","Residential Improved","Cass",0.92,0.92,1.02,5.33,7.76,1,0,8
"2.5%225","Greene","Residential Improved","Fairplay",0.87,0.91,0.95,11.41,14.02,1.02,0,94
"2.5%226","Greene","Residential Improved","Highland",0.9,0.92,0.96,11.8,15.07,1.03,0,56
"2.5%227","Greene","Residential Improved","Richland",0.86975,0.91,0.96,10.36,12.55,1.03,0,36
"198","Hamilton","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"199","Hamilton","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp96","Hamilton","Commercial Vacant","Countywide",0.99,1,1.01,6.88,12.6,0.99,0,16
"2.5%228","Hamilton","Commercial Improved","Countywide",0.89,0.91,0.95,7.1,8.91,0.99,0,41
"2.5%229","Hamilton","Residential Vacant","Countywide",0.96,0.99,1,10.22,15.1,1.02,0,167
"df_sp97","Hamilton","Residential Vacant","Adams",0.87,0.92,0.99,8.54,12.83,0.98,0,9
"2.5%230","Hamilton","Residential Vacant","Clay",0.95,0.99,1,10.09,15.48,1,0,44
"2.5%231","Hamilton","Residential Vacant","Fall Creek",0.84,0.91,0.96,9.78,12.76,1.02,0,27
"df_sp98","Hamilton","Residential Vacant","Noblesville",0.89,0.92,0.97,6.22,8.39,1,0,14
"2.5%232","Hamilton","Residential Vacant","Westfield Washington",0.99,1,1,10.04,16.21,1.03,0,73
"2.5%233","Hamilton","Residential Improved","Countywide",0.9,0.9,0.9,7.48,9.88,1.01,0,8355
"2.5%234","Hamilton","Residential Improved","Adams",0.9,0.93,0.94,8.68,11.22,1.01,0,150
"2.5%235","Hamilton","Residential Improved","Clay",0.89,0.9,0.9,9.09,11.92,1.01,0,1759
"2.5%236","Hamilton","Residential Improved","Delaware",0.9,0.9,0.91,7.41,10.13,1,0,600
"2.5%237","Hamilton","Residential Improved","Fall Creek",0.89,0.89,0.9,6.83,8.72,1,0,1698
"2.5%238","Hamilton","Residential Improved","Jackson",0.9,0.91,0.92,7.48,9.82,1.01,0,268
"2.5%239","Hamilton","Residential Improved","Noblesville",0.9,0.91,0.91,8.46,11.13,1,0,1374
"2.5%240","Hamilton","Residential Improved","Wayne",0.89,0.9,0.91,5.31,7.28,1,0,168
"2.5%241","Hamilton","Residential Improved","Westfield Washington",0.9,0.9,0.91,6.18,7.91,1,0,2325
"df_sp99","Hamilton","Residential Improved","White River",0.77,0.91,0.99,12.9,15.64,1,0,13
"1100","Hancock","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1101","Hancock","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1102","Hancock","Commercial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp100","Hancock","Commercial Improved","Countywide",0.81,0.9,0.94,11.94,14.04,0.99,0,16
"2.5%242","Hancock","Residential Vacant","Countywide",0.94,1,1.07,8,10.16,1.01,0,25
"df_sp101","Hancock","Residential Vacant","Brandywine",0.93,0.99,1.14,8.85,11.28,1.03,0,11
"df_sp102","Hancock","Residential Vacant","Buck Creek",0.93,1.01,1.05,6.49,9.89,0.99,0,6
"df_sp103","Hancock","Residential Vacant","Green",0.94,1.03,1.13,7.75,9.36,1,0,8
"1103","Hancock","Residential Vacant","Blue River",NA,NA,NA,NA,NA,NA,NA,0
"2.5%243","Hancock","Residential Improved","Countywide",0.89,0.9,0.9,7.09,9.88,1,0,2195
"2.5%244","Hancock","Residential Improved","Blue River",0.87,0.9,0.93,7.75,11.36,1.01,0,36
"2.5%245","Hancock","Residential Improved","Brandywine",0.89,0.9,0.9,6.02,8.4,1,0,512
"2.5%246","Hancock","Residential Improved","Buck Creek",0.88,0.9,0.91,6.99,8.52,1,0,222
"2.5%247","Hancock","Residential Improved","Center",0.89,0.89,0.9,8.03,11.54,1.01,0,630
"2.5%248","Hancock","Residential Improved","Vernon",0.89,0.9,0.9,7.01,9.61,1,0,795
"1104","Harrison","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1105","Harrison","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1106","Harrison","Commercial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"2.5%249","Harrison","Commercial Improved","Countywide",0.95,0.99,1.04,8.65,11.82,1,0,21
"2.5%250","Harrison","Residential Vacant","Countywide",0.95,0.98,1.04,10.82,15.33,1.01,0,37
"2.5%251","Harrison","Residential Vacant","Harrison",0.89,0.96,1.04,11.42,15.66,1.02,0,22
"df_sp104","Harrison","Residential Vacant","Blue River",0.96,1,1.06,9.89,16.35,0.93,0,10
"2.5%252","Harrison","Residential Improved","Countywide",0.94,0.95,0.96025,13.45,33.09,1.03,0,505
"2.5%253","Harrison","Residential Improved","Heth",0.85,0.9,0.97,9.7,12.8,1.01,0,24
"2.5%254","Harrison","Residential Improved","Harrison",0.96,0.98,1,10.88,16.6,1.02,0,179
"2.5%255","Harrison","Residential Improved","Posey",0.86975,1,1.02,42.05,92.63,1.27,0,30
"2.5%256","Harrison","Residential Improved","Blue River",0.83,0.91,1,11.88,14.53,1.02,0,23
"2.5%257","Harrison","Residential Improved","Jackson",0.94,0.97,1.01,11.4,16.15,1.02,0,74
"2.5%258","Harrison","Residential Improved","Morgan",0.88,0.92,0.99,13.05,16.78,1.02,0,49
"2.5%259","Harrison","Residential Improved","Spencer",0.89,0.95,1.02,13.25,17.01,1.02,0,25
