"","County","Type","Grouping","LowerBound","Median","UpperBound","COD","COV","PRD","PRB","Sales"
"2.5%75","Cass","Residential Improved","Countywide",0.93,0.95,0.96,18.95,33.93,1.06,0,1046
"df_sp36","Cass","Residential Improved","Adams",0.62,0.8,1.02,24.27,27.89,1.07,0,11
"df_sp37","Cass","Residential Improved","Bethlehem",0.84,0.99,1.11,16.33,21.09,1.04,0,18
"2.5%76","Cass","Residential Improved","Boone",0.91,0.94,0.99,24.44,44.99,1.09,0,94
"2.5%77","Cass","Residential Improved","Clay",0.91,0.94,0.98,13.82,19.53,1.02,0,80
"2.5%78","Cass","Residential Improved","Deer Creek",0.93,0.95,0.97,13.38,20.02,1.03,0,91
"2.5%79","Cass","Residential Improved","Eel",0.93,0.95,0.97,20.56,37.4,1.08,0,588
"2.5%80","Cass","Residential Improved","Miami",0.86,0.93,1.04,14.64,16.91,1.01,0,28
"2.5%81","Cass","Residential Improved","Noble",0.89,0.95,1.03,14.65,20.24,1.02,0,39
"2.5%82","Cass","Residential Improved","Tipton",0.85,0.95,0.99,15.29,18.65,1.04,0,70
"2.5%83","Cass","Residential Improved","Washington",0.82,0.95,1.02,19.66,29.63,1.03,0,27
"121","Clark","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"122","Clark","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp38","Clark","Commercial Vacant","Countywide",0.06,0.14,1.9,281.48,158.1,1.67,0,5
"2.5%84","Clark","Commercial Improved","Countywide",0.96,0.98,0.99,9.9,19.58,1.02,0,75
"2.5%85","Clark","Residential Vacant","Countywide",0.93,0.98,1,24.29,41.06,1.17,0,97
"df_sp39","Clark","Residential Vacant","Carr",0.54,1.01,1.13,26.36,43.29,1.12,0,14
"2.5%86","Clark","Residential Vacant","Charlestown",0.91,0.98,1.03025,28.47,48.27,1.28,0,28
"df_sp40","Clark","Residential Vacant","Jeffersonville",0.57,0.83,0.97,31.38,47.95,1.85,0,16
"df_sp41","Clark","Residential Vacant","Monroe",0.91,1.03,1.12,9.05,11.63,1.01,0,7
"df_sp42","Clark","Residential Vacant","Union",0.02,1,1,28.49,66.29,0.94,0,7
"2.5%87","Clark","Residential Vacant","Utica",0.91,0.99,1,11.81,17.17,1.01,0,21
"123","Clark","Residential Vacant","Bethlehem",NA,NA,NA,NA,NA,NA,NA,4
"2.5%88","Clark","Residential Improved","Countywide",0.98,0.98,0.99,14.19,30.24,1.04,0,2583
"2.5%89","Clark","Residential Improved","Bethlehem",0.89,0.95,1,14.55,21.71,0.98,0,28
"2.5%90","Clark","Residential Improved","Carr",0.96,0.98,0.99,11.83,27.24,1.02,0,97
"2.5%91","Clark","Residential Improved","Charlestown",0.98,0.98,1,9.7,19.89,1.01,0,391
"2.5%92","Clark","Residential Improved","Jeffersonville",0.98,0.99,0.99,18.85,36.5,1.06,0,1171
"2.5%93","Clark","Residential Improved","Monroe",0.95,0.99,1,15.11,27.54,1.06,0,92
"df_sp43","Clark","Residential Improved","Oregon",0.86,0.92,0.97,9.3,12.79,1.01,0,17
"2.5%94","Clark","Residential Improved","Silver Creek",0.95,0.97,0.98,9.6,15.71,1.01,0,275
"2.5%95","Clark","Residential Improved","Union",0.96,0.99,1,10.69,17.98,1.01,0,115
"2.5%96","Clark","Residential Improved","Utica",0.98,0.99,0.99,7.22,21.86,1.02,0,335
"2.5%97","Clark","Residential Improved","Washington",0.86,0.92,1.01,10.67,13.14,1,0,21
"2.5%98","Clark","Residential Improved","Wood",0.88,0.96,0.99,25.59,52.03,1.09,0,41
"124","Clay","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"125","Clay","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"126","Clay","Commercial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp44","Clay","Commercial Improved","Countywide",0.91,0.99,1.04,7.15,10.59,1,0,7
"127","Clay","Residential Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"2.5%99","Clay","Residential Improved","Countywide",0.9,0.92,0.93,13.77,17.92,1.04,0,316
"2.5%100","Clay","Residential Improved","Brazil",0.88,0.92,0.94,14.92,19.13,1.03,0,128
"2.5%101","Clay","Residential Improved","Dick Johnson",0.84,0.93,0.98,15.13,23.01,1.09,0,32
"2.5%102","Clay","Residential Improved","Cass",0.87,0.91,0.93,12.17,15.5,1.04,0,66
"2.5%103","Clay","Residential Improved","Harrison",0.87,0.94,1.04,13.36,17.46,1.02,0,21
"2.5%104","Clay","Residential Improved","Perry",0.88,0.9,0.95,12.49,14.9,1.02,0,69
"128","Clinton","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"129","Clinton","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"130","Clinton","Commercial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"131","Clinton","Commercial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"132","Clinton","Residential Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"2.5%105","Clinton","Residential Improved","Countywide",0.88,0.91,0.92,15.59,20.69,1.03,0,254
"2.5%106","Clinton","Residential Improved","Center",0.85,0.88,0.93,17.81,22.48,1.04,0,143
"2.5%107","Clinton","Residential Improved","Union",0.87,0.9,0.99,11.82,15.65,1.03,0,27
"2.5%108","Clinton","Residential Improved","Perry",0.87,0.91,1,13.91,19.28,1.02,0,33
"df_sp45","Clinton","Residential Improved","Madison",0.8,0.89,0.95,11.67,15.67,1.03,0,19
