"","County","Type","Grouping","LowerBound","Median","UpperBound","COD","COV","PRD","PRB","Sales"
"1","Adams","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"2","Adams","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"3","Adams","Commercial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"2.5%","Adams","Commercial Improved","Countywide",0.84,0.96,1.01,16.05,21.49,1.01,0,23
"df_sp","Adams","Residential Vacant","Countywide",0.8,1.07,1.16,9.55,14.22,1.04,0,5
"2.5%1","Adams","Residential Improved","Countywide",0.92,0.95,0.96,12.36,15.69,1.02,0,431
"2.5%2","Adams","Residential Improved","Blue Creek",0.89,0.95,0.96,14.11,17.52,1.03,0,83
"2.5%3","Adams","Residential Improved","Hartford",0.89,0.95,0.980499999999999,13.44,15.89,1.02,0,79
"df_sp1","Adams","Residential Improved","Preble",0.88,0.97,1.04,10.28,13.58,1.02,0,19
"2.5%4","Adams","Residential Improved","Washington",0.89,0.95,0.97,13.53,16.74,1.03,0,147
"2.5%5","Adams","Residential Improved","Root",0.92,0.95,0.96,8.75,12.82,1.01,0,103
"11","Allen","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp2","Allen","Industrial Improved","Countywide",0.83,0.93,0.96,6.91,8.21,0.99,0,9
"df_sp3","Allen","Commercial Vacant","Countywide",0.87,0.93,0.95,8.65,13.03,1.02,0,15
"2.5%6","Allen","Commercial Improved","Countywide",0.9,0.92,0.93,6.7,10.08,1,0,48
"12","Allen","Commercial Improved","Aboite",NA,NA,NA,NA,NA,NA,NA,0
"2.5%7","Allen","Commercial Improved","Adams",0.9,0.93,0.94,5.63,7.97,0.99,0,26
"df_sp4","Allen","Commercial Improved","Perry",0.84,0.9,0.95,9.51,15.2,0.99,0,12
"df_sp5","Allen","Commercial Improved","Washington",0.89,0.93,0.96,5.49,7.38,1,0,10
"2.5%8","Allen","Residential Vacant","Countywide",0.85,0.95,0.98,15.77,27.19,1.01,0,38
"df_sp6","Allen","Residential Vacant","Aboite",0.9,0.97,1.01,9.33,13.58,1.03,0,10
"13","Allen","Residential Vacant","Adams",NA,NA,NA,NA,NA,NA,NA,0
"df_sp7","Allen","Residential Vacant","Cedar Creek",0.66,0.89,1,17.56,20.55,1,0,8
"df_sp8","Allen","Residential Vacant","Eel River",0.75,0.88,1.03,16.24,18.15,0.97,0,10
"df_sp9","Allen","Residential Vacant","Perry",0.89,0.93,0.95,19.25,48.27,0.96,0,6
"14","Allen","Residential Vacant","St. Joseph",NA,NA,NA,NA,NA,NA,NA,0
"2.5%9","Allen","Residential Improved","Countywide",0.99,0.99,0.99,12.59,47.68,1.04,0,4791
"2.5%10","Allen","Residential Improved","Aboite",0.99,0.99,0.99,11.47,49.54,1.04,0,735
"2.5%11","Allen","Residential Improved","Adams",0.97,0.98,0.99,7.53,10.13,1,0,332
"2.5%12","Allen","Residential Improved","Cedar Creek",0.98,1,1,28.54,88.01,1.16,0,200
