"","County","Type","Grouping","LowerBound","Median","UpperBound","COD","COV","PRD","PRB","Sales"
"2.5%25","Allen, Dekalb, Noble, Steuben, Grant, Lagrange, Randolph, Wabash, Wells, Whitley","Residential Improved",14,0.99,0.99,0.99,17.94,59.59,1.07,0,6883
"19","Monroe","Industrial Vacant",13,NA,NA,NA,NA,NA,NA,NA,0
"df_sp13","Dearborn, Monroe","Industrial Improved",13,0.49,0.64,0.77,13.7,18.18,1.01,0,5
"df_sp14","Bartholomew, Monroe","Commercial Vacant",13,0.18,0.97,1.03,19.92,44.3,0.91,0,5
"2.5%26","Bartholomew, Clark, Dearborn, Floyd, Jennings, Lawrence, Monroe, Scott","Commercial Improved",13,0.95,0.96,0.98,9.22,11.75,1.01,0,213
"2.5%27","Clark, Dearborn, Floyd, Scott, Bartholomew, Brown, Harrison, Lawrence, Monroe, Owen","Residential Vacant",13,0.95,0.97,0.99,11.67,15.09,1.02,0,230
"2.5%28","Brown, Clark, Dearborn, Floyd, Lawrence, Monroe, Bartholomew, Franklin, Harrison, Jennings, Martin, Owen, Ripley, Scott","Residential Improved",13,0.94,0.95,0.95,11.17,27.18,1.02,0,6565
"df_sp15","Johnson, Marion","Industrial Vacant",11,0.94,0.99,1.2,9.9,14.64,0.97,0,8
"2.5%29","Delaware, Hamilton, Hendricks, Henry, Howard, Johnson, Marion, Morgan, Wayne","Industrial Improved",11,0.85,0.91,0.94,27.72,95.92,1.1,0,49
"2.5%30","Hamilton, Johnson, Henry, Howard, Marion, Morgan, Wayne","Commercial Vacant",11,0.98,1,1.01,11.92,20.08,0.99,0,42
"2.5%31","Boone, Delaware, Grant, Hamilton, Hancock, Hendricks, Henry, Howard, Johnson, Marion, Monroe, Morgan, Wayne","Commercial Improved",11,0.92,0.93,0.95,14.28,20.5,1,0,498
"2.5%32","Hamilton, Hancock, Howard, Johnson, Boone, Delaware, Hendricks, Henry, Madison, Marion, Monroe, Morgan, Wayne","Residential Vacant",11,0.94,0.95,0.97,12.88,18.7,1.01,0,628
"2.5%33","Delaware, Hamilton, Hancock, Hendricks, Henry, Howard, Johnson, Marion, Wayne, Boone, Brown, Cass, Grant, Madison, Miami, Monroe, Morgan, Shelby, Tipton","Residential Improved",11,0.92,0.92,0.93,13.23,44.33,1.04,0,39996
"110","","Industrial Vacant",12,NA,NA,NA,NA,NA,NA,NA,0
"df_sp16","Tippecanoe, Vigo","Industrial Improved",12,0.97,1.07,1.33,16.99,19.33,1.05,0,10
"111","Tippecanoe","Commercial Vacant",12,NA,NA,NA,NA,NA,NA,NA,0
"2.5%34","Tippecanoe, Carroll, Clay, Vigo, White","Commercial Improved",12,0.88,0.92,0.95,15.65,19.61,0.99,0,118
"2.5%35","Tippecanoe, Carroll, Vigo, White","Residential Vacant",12,0.92,0.94,0.94,8.72,13.28,1,0,263
"2.5%36","Carroll, Tippecanoe, Vigo, White, Boone, Cass, Clay, Fountain, Howard, Montgomery, Owen, Warren","Residential Improved",12,0.9,0.9,0.9,14.23,48.95,1.03,0,4445
"112","Dubois","Industrial Vacant",10,NA,NA,NA,NA,NA,NA,NA,0
"df_sp17","Dubois, Knox, Vanderburgh, Warrick","Industrial Improved",10,0.83,0.88,0.94,11.39,16.53,0.96,0,13
"df_sp18","Warrick, Knox, Vanderburgh","Commercial Vacant",10,0.79,0.93,1,10.52,13.58,1,0,15
"2.5%37","Vanderburgh, Dubois, Greene, Knox, Warrick","Commercial Improved",10,0.88,0.91,0.94,16.31,20.55,1.02,0,136
"2.5%38","Dubois, Knox, Posey, Warrick, Greene, Spencer, Vanderburgh","Residential Vacant",10,0.91,0.92,0.93,9.96,15.18,1.01,0,335
"2.5%39","Dubois, Vanderburgh, Warrick, Greene, Knox, Pike, Posey, Spencer, Sullivan","Residential Improved",10,0.94,0.95,0.95,14.18,47.44,1.03,0,4223
"df_sp19","Elkhart, Kosciusko, St. Joseph","Industrial Vacant",8,0.32,0.93,1.2,32.82,49.28,1.63,0,8
"2.5%40","Elkhart, Kosciusko, St. Joseph","Industrial Improved",8,0.84,0.91,1.05,19.66,22.43,1,0,53
"df_sp20","Elkhart, Kosciusko, St. Joseph","Commercial Vacant",8,0.21,0.87,1.13,44.96,61.95,0.96,0,8
"2.5%41","Kosciusko, Elkhart, Laporte, St. Joseph","Commercial Improved",8,0.95,0.98,1.01,17.39,22.13,1.01,0,220
"2.5%42","Kosciusko, Elkhart, Laporte, St. Joseph","Residential Vacant",8,0.96,0.99,1,12.98,17.86,1,0,214
"2.5%43","Elkhart, St. Joseph, Kosciusko, Lagrange, Laporte, Miami, Noble, Wabash","Residential Improved",8,0.93,0.93,0.94,12.74,16.54,1.02,0,6314
"df_sp21","Jasper, Lake","Industrial Vacant",9,0.89,1.01,1.14,13.27,21.75,1.04,0,8
"2.5%44","Jasper, Lake","Industrial Improved",9,0.95,0.97,0.98,11.91,39.98,1.04,0,47
"2.5%45","Lake, Newton","Commercial Vacant",9,0.91,0.98,1,12.78,20.67,0.97,0,32
"2.5%46","Lake, Jasper, Laporte, Newton, Porter","Commercial Improved",9,0.97,0.98,0.98,10.66,64.93,1.05,0,585
"2.5%47","Jasper, Lake, Laporte, Newton, Porter","Residential Vacant",9,0.94,0.96,0.98,11.37,15.49,0.99,0,366
"2.5%48","Jasper, Lake, Laporte, Newton, Porter","Residential Improved",9,0.98,0.98,0.98,12.96,53.34,1.04,0,16750
