"SaleID","County","Township","TaxDistrict","ParcelNumber","PropertyClass","PostedAV","CurrentAV","SalePrice","PostedSaleRatio","SaleRatio","MultiParcel","Primary","StudySection"
"C01-2022-0042044","Adams","Wabash",18,"01-11-05-105-023.000-018","510",194000,194000,241200,0.804311774461028,0.804311774461028,"N","Y","ResImp"
"C01-2022-0042048","Adams","Washington",22,"01-05-04-301-016.000-022","510",205700,205700,263100,0.781832003040669,0.781832003040669,"N","Y","ResImp"
"C01-2022-0042052","Adams","Washington",22,"01-05-04-208-003.000-022","510",181800,181800,213400,0.851921274601687,0.851921274601687,"N","Y","ResImp"
"C01-2022-0042055","Adams","Washington",22,"01-05-03-101-005.000-022","510",114300,114300,154800,0.738372093023256,0.738372093023256,"N","Y","ResImp"
"C01-2022-0042056","Adams","Washington",21,"01-05-06-200-011.000-021","510",163600,163600,207900,0.786916786916787,0.786916786916787,"N","Y","ResImp"
"C01-2022-0042062","Adams","Wabash",18,"01-11-04-100-022.000-018","510",150000,150000,133700,1.12191473448018,1.12191473448018,"N","Y","ResImp"
"C01-2022-0042067","Adams","Union",16,"01-03-33-300-001.000-016","511",119400,119400,154900,0.770819883795997,0.770819883795997,"N","Y","ResImp"
"C01-2022-0042074","Adams","Monroe",10,"01-08-32-405-027.000-010","510",123000,123000,130100,0.945426594926979,0.945426594926979,"N","Y","ResImp"
"C01-2022-0042076","Adams","Union",16,"01-03-03-400-002.000-016","511",114200,114200,132200,0.863842662632375,0.863842662632375,"N","Y","ResImp"
"C01-2022-0042082","Adams","Washington",22,"01-05-03-121-001.000-022","510",133500,133500,133400,1.00074962518741,1.00074962518741,"N","Y","ResImp"
